,region,area,avg_percentfemale,avg_percentmale
0,Europe,Albania,3.5142857142857142,2.723809523809524
1,Africa,Algeria,3.2142857142857144,2.9952380952380957
2,Europe,Andorra,0.0,0.0
3,Africa,Angola,6.647619047619049,6.080952380952381
4,Europe,Austria,0.40476190476190477,0.3857142857142857
5,Europe,Belarus,0.0,0.0
6,Europe,Belgium,0.18095238095238095,0.1952380952380952
7,Africa,Benin,4.638095238095238,4.414285714285715
8,Europe,Bosnia and Herzegovina,0.6238095238095238,0.7047619047619048
9,Africa,Botswana,8.566666666666666,6.838095238095238
10,Europe,Bulgaria,0.8571428571428571,0.7714285714285714
11,Africa,Burkina Faso,4.428571428571429,5.142857142857143
12,Africa,Burundi,0.0,0.0
13,Africa,Cabo Verde,1.8333333333333333,1.8333333333333333
14,Africa,Cameroon,8.476190476190476,9.223809523809523
15,Africa,Central African Republic,8.828571428571427,8.828571428571427
16,Africa,Chad,0.0,0.0
17,Africa,Comoros,2.7047619047619045,2.5142857142857142
18,Africa,Congo,16.785714285714285,17.066666666666666
19,Africa,Cote d'Ivoire,2.8619047619047615,2.804761904761905
20,Europe,Croatia,0.4333333333333334,0.27999999999999997
21,Europe,Czechia,0.29473684210526313,0.3368421052631579
22,Africa,Democratic Republic of the Congo,5.447619047619048,5.828571428571429
23,Europe,Denmark,0.48571428571428565,0.3333333333333333
24,Africa,Djibouti,1.4666666666666668,1.6761904761904762
25,Africa,Egypt,2.9428571428571426,2.3714285714285714
26,Africa,Equatorial Guinea,0.0,0.0
27,Africa,Eritrea,0.0,0.0
28,Europe,Estonia,0.2761904761904762,0.29523809523809524
29,Africa,Eswatini,1.657142857142857,1.8285714285714285
30,Africa,Ethiopia,5.561904761904762,5.461904761904762
31,Europe,Finland,0.8238095238095239,0.6571428571428571
32,Europe,France,0.2666666666666667,0.4333333333333333
33,Africa,Gabon,0.0,0.0
34,Africa,Gambia,7.014285714285715,7.409523809523809
35,Europe,Germany,0.2761904761904762,0.3333333333333333
36,Africa,Ghana,2.0285714285714285,1.980952380952381
37,Europe,Greece,0.7761904761904762,0.7523809523809524
38,Africa,Guinea,16.185714285714283,16.085714285714285
39,Africa,Guinea-Bissau,4.914285714285715,4.919047619047619
40,Europe,Hungary,0.5666666666666667,0.4619047619047619
41,Europe,Iceland,0.47619047619047616,0.5428571428571429
42,Europe,Ireland,0.8428571428571429,1.2999999999999998
43,Europe,Italy,0.2761904761904762,0.6238095238095238
44,Africa,Kenya,8.1,6.847619047619048
45,Europe,Latvia,0.22000000000000003,0.22857142857142856
46,Africa,Lesotho,5.628571428571429,5.776190476190476
47,Africa,Liberia,11.304761904761905,10.347619047619048
48,Africa,Libya,6.795238095238095,4.1761904761904765
49,Europe,Lithuania,0.5904761904761905,0.6285714285714286
50,Europe,Luxembourg,0.3190476190476191,0.35714285714285715
51,Africa,Madagascar,2.2047619047619045,1.7857142857142858
52,Africa,Malawi,17.261904761904763,15.790476190476191
53,Africa,Mali,0.0,0.0
54,Europe,Malta,0.5428571428571429,0.3
55,Africa,Mauritania,2.1,2.1333333333333333
56,Africa,Mauritius,2.8714285714285714,2.0857142857142854
57,Europe,Montenegro,0.8857142857142858,0.8571428571428571
58,Africa,Morocco,0.0,0.0
59,Africa,Mozambique,10.014285714285714,9.204761904761906
60,Africa,Namibia,10.714285714285714,10.042857142857143
61,Europe,Netherlands (Kingdom of the),0.5380952380952382,0.4714285714285714
62,Africa,Niger,3.3857142857142852,3.185714285714286
63,Africa,Nigeria,5.109523809523809,5.4
64,Europe,North Macedonia,1.5238095238095237,1.4047619047619047
65,Europe,Norway,0.33809523809523806,0.40476190476190477
66,Europe,Poland,0.3263157894736842,0.29047619047619044
67,Europe,Portugal,1.1619047619047618,1.1285714285714286
68,Europe,Republic of Moldova,1.2476190476190476,1.1238095238095238
69,Europe,Romania,1.6142857142857143,1.3
70,Europe,Russian Federation,0.12352941176470589,0.13333333333333333
71,Africa,Rwanda,0.0,0.0
72,Africa,Sao Tome and Principe,1.3714285714285714,1.3142857142857143
73,Africa,Senegal,2.780952380952381,3.185714285714286
74,Europe,Serbia,0.9190476190476189,0.8380952380952381
75,Africa,Seychelles,0.6142857142857143,0.6142857142857143
76,Africa,Sierra Leone,10.619047619047619,10.257142857142858
77,Europe,Slovakia,0.4428571428571429,0.33809523809523806
78,Europe,Slovenia,0.2578947368421053,0.12941176470588237
79,Africa,Somalia,4.052380952380952,4.052380952380952
80,Africa,South Africa,1.657142857142857,1.3285714285714285
81,Africa,South Sudan,15.123809523809525,15.123809523809525
82,Europe,Spain,0.5714285714285714,0.49523809523809526
83,Africa,Sudan,5.333333333333333,5.333333333333333
84,Europe,Sweden,0.32857142857142857,0.4238095238095238
85,Europe,Switzerland,0.20555555555555557,0.32857142857142857
86,Africa,Togo,5.176190476190476,6.309523809523809
87,Africa,Tunisia,3.542857142857143,3.4380952380952383
88,Africa,Uganda,7.633333333333334,8.319047619047618
89,Europe,Ukraine,0.8857142857142858,0.8047619047619047
90,Europe,United Kingdom of Great Britain and Northern Ireland,0.5523809523809524,0.44761904761904764
91,Africa,United Republic of Tanzania,8.457142857142857,7.980952380952381
92,Africa,Zambia,9.004761904761905,9.028571428571428
93,Africa,Zimbabwe,11.6,10.719047619047618
